uid,area,outages,customers,percent_out,dt_stamp
Wicomico2024-09-04T23:00:34,Wicomico,0,50245,0.000,09/04/2024 11:00:34 PM
Worcester2024-09-04T23:00:34,Worcester,0,59063,0.000,09/04/2024 11:00:34 PM
Allegany2024-09-04T23:15:35,Allegany,0,37206,0.000,09/04/2024 11:15:35 PM
Anne_Arundel2024-09-04T23:15:35,Anne Arundel,10,260710,0.004,09/04/2024 11:15:35 PM
Baltimore2024-09-04T23:15:35,Baltimore,4,373184,0.001,09/04/2024 11:15:35 PM
Baltimore_City2024-09-04T23:15:35,Baltimore City,88,280617,0.031,09/04/2024 11:15:35 PM
Calvert2024-09-04T23:15:35,Calvert,0,41874,0.000,09/04/2024 11:15:35 PM
Caroline2024-09-04T23:15:35,Caroline,0,16253,0.000,09/04/2024 11:15:35 PM
Carroll2024-09-04T23:15:35,Carroll,0,76136,0.000,09/04/2024 11:15:35 PM
Cecil2024-09-04T23:15:35,Cecil,0,50187,0.000,09/04/2024 11:15:35 PM
Charles2024-09-04T23:15:35,Charles,0,72244,0.000,09/04/2024 11:15:35 PM
Dorchester2024-09-04T23:15:35,Dorchester,0,19928,0.000,09/04/2024 11:15:35 PM
Frederick2024-09-04T23:15:35,Frederick,1,116871,0.001,09/04/2024 11:15:35 PM
Garrett2024-09-04T23:15:35,Garrett,1,20396,0.005,09/04/2024 11:15:35 PM
Harford2024-09-04T23:15:35,Harford,0,114347,0.000,09/04/2024 11:15:35 PM
Howard2024-09-04T23:15:35,Howard,4,138196,0.003,09/04/2024 11:15:35 PM
Kent2024-09-04T23:15:35,Kent,0,12334,0.000,09/04/2024 11:15:35 PM
Montgomery2024-09-04T23:15:35,Montgomery,1,381561,0.000,09/04/2024 11:15:35 PM
Prince_George's2024-09-04T23:15:35,Prince George's,4,350986,0.001,09/04/2024 11:15:35 PM
Queen_Anne's2024-09-04T23:15:35,Queen Anne's,0,27627,0.000,09/04/2024 11:15:35 PM
Somerset2024-09-04T23:15:35,Somerset,0,11332,0.000,09/04/2024 11:15:35 PM
St._Mary's2024-09-04T23:15:35,St. Mary's,0,56237,0.000,09/04/2024 11:15:35 PM
Talbot2024-09-04T23:15:35,Talbot,0,23706,0.000,09/04/2024 11:15:35 PM
Washington2024-09-04T23:15:35,Washington,0,54026,0.000,09/04/2024 11:15:35 PM
Wicomico2024-09-04T23:15:35,Wicomico,0,50245,0.000,09/04/2024 11:15:35 PM
Worcester2024-09-04T23:15:35,Worcester,0,59063,0.000,09/04/2024 11:15:35 PM
Allegany2024-09-04T23:30:35,Allegany,0,37206,0.000,09/04/2024 11:30:35 PM
Anne_Arundel2024-09-04T23:30:35,Anne Arundel,10,260710,0.004,09/04/2024 11:30:35 PM
Baltimore2024-09-04T23:30:35,Baltimore,4,373184,0.001,09/04/2024 11:30:35 PM
Baltimore_City2024-09-04T23:30:35,Baltimore City,88,280617,0.031,09/04/2024 11:30:35 PM
